date,open,high,low,close,volume
2026-04-01,149.46,150.43,149.03,150.0,4000000
2026-04-02,150.62,151.4,150.19,150.97,4003271
2026-04-03,151.74,152.33,151.31,151.9,4006183
2026-04-06,152.76,153.19,152.32,152.75,4008414
2026-04-07,153.66,154.09,153.07,153.5,4009719
2026-04-08,154.4,154.83,153.69,154.12,4009954
2026-04-09,154.95,155.38,154.16,154.59,4009092
2026-04-10,155.31,155.74,154.48,154.91,4007230
2026-04-13,155.46,155.89,154.64,155.07,4004572
2026-04-14,155.43,155.86,154.67,155.1,4001411
2026-04-15,155.23,155.66,154.57,155.0,4001905
2026-04-16,154.9,155.33,154.38,154.8,4005012
2026-04-17,154.49,154.98,154.06,154.55,4007568
2026-04-20,154.04,154.71,153.61,154.28,4009290
2026-04-21,153.59,154.45,153.16,154.02,4009989
2026-04-22,153.21,154.25,152.78,153.82,4009589
2026-04-23,152.93,154.14,152.5,153.71,4008133
2026-04-24,152.79,154.14,152.36,153.71,4005781
2026-04-27,152.84,154.29,152.41,153.86,4002794
2026-04-28,153.07,154.58,152.64,154.15,4000501
2026-04-29,153.5,155.03,153.07,154.6,4003741
2026-04-30,154.13,155.62,153.7,155.2,4006569
2026-05-01,154.95,156.37,154.52,155.94,4008674
2026-05-04,155.9,157.21,155.47,156.78,4009825
2026-05-05,156.97,158.12,156.54,157.7,4009893
2026-05-06,158.11,159.09,157.69,158.67,4008872
2026-05-07,159.27,160.06,158.84,159.64,4006875
2026-05-08,160.39,161.01,159.96,160.58,4004121
2026-05-11,161.43,161.87,161.0,161.44,4000913
2026-05-12,162.35,162.78,161.78,162.21,4002395
2026-05-13,163.11,163.54,162.41,162.84,4005440
2026-05-14,163.69,164.12,162.91,163.34,4007886
2026-05-15,164.07,164.5,163.24,163.67,4009463
2026-05-18,164.25,164.68,163.44,163.86,4009999
2026-05-19,164.24,164.67,163.47,163.9,4009434
2026-05-20,164.06,164.49,163.38,163.81,4007831
2026-05-21,163.75,164.18,163.2,163.63,4005365
2026-05-22,163.34,163.81,162.91,163.38,4002309
2026-05-25,162.89,163.54,162.46,163.11,4001001
2026-05-26,162.44,163.28,162.01,162.85,4004201
