date,open,high,low,close,volume
2026-04-01,384.61,385.26,383.15,383.8,3009954
2026-04-02,385.13,385.78,383.54,384.19,3009092
2026-04-03,385.34,385.99,383.69,384.34,3007230
2026-04-06,385.22,385.87,383.59,384.24,3004572
2026-04-07,384.8,385.45,383.26,383.91,3001411
2026-04-08,384.12,384.77,382.74,383.39,3001905
2026-04-09,383.25,383.9,382.08,382.73,3005012
2026-04-10,382.22,382.87,381.31,381.96,3007568
2026-04-13,381.14,381.82,380.49,381.17,3009290
2026-04-14,380.07,381.05,379.42,380.4,3009989
2026-04-15,379.09,380.36,378.44,379.71,3009589
2026-04-16,378.28,379.82,377.63,379.17,3008133
2026-04-17,377.71,379.47,377.06,378.82,3005781
2026-04-20,377.42,379.34,376.77,378.69,3002794
2026-04-21,377.43,379.45,376.78,378.8,3000501
2026-04-22,377.76,379.81,377.11,379.16,3003741
2026-04-23,378.41,380.41,377.76,379.76,3006569
2026-04-24,379.35,381.23,378.7,380.58,3008674
2026-04-27,380.52,382.22,379.87,381.57,3009825
2026-04-28,381.87,383.33,381.22,382.68,3009893
2026-04-29,383.33,384.52,382.68,383.87,3008872
2026-04-30,384.82,385.71,384.17,385.06,3006875
2026-05-01,386.26,386.91,385.55,386.2,3004121
2026-05-04,387.57,388.22,386.58,387.23,3000913
2026-05-05,388.68,389.33,387.44,388.09,3002395
2026-05-06,389.54,390.19,388.1,388.75,3005440
2026-05-07,390.11,390.76,388.53,389.18,3007886
2026-05-08,390.35,391.0,388.71,389.36,3009463
2026-05-11,390.28,390.93,388.64,389.29,3009999
2026-05-12,389.9,390.55,388.34,388.99,3009434
2026-05-13,389.26,389.91,387.85,388.5,3007831
2026-05-14,388.4,389.05,387.2,387.85,3005365
2026-05-15,387.39,388.04,386.45,387.1,3002309
2026-05-18,386.31,386.96,385.65,386.3,3001001
2026-05-19,385.23,386.17,384.58,385.52,3004201
2026-05-20,384.24,385.47,383.59,384.82,3006939
2026-05-21,383.41,384.91,382.76,384.26,3008913
2026-05-22,382.8,384.53,382.15,383.88,3009906
2026-05-25,382.46,384.37,381.81,383.72,3009808
2026-05-26,382.44,384.45,381.79,383.8,3008630
