date,open,high,low,close,volume
2026-04-01,861.38,863.68,856.68,858.98,6001905
2026-04-02,858.41,860.71,854.52,856.82,6005012
2026-04-03,854.94,857.24,852.02,854.32,6007568
2026-04-06,851.22,853.98,848.92,851.68,6009290
2026-04-07,847.55,851.44,845.25,849.14,6009989
2026-04-08,844.25,849.23,841.95,846.93,6009589
2026-04-09,841.58,847.55,839.28,845.25,6008133
2026-04-10,839.77,846.58,837.47,844.28,6005781
2026-04-13,839.01,846.44,836.71,844.14,6002794
2026-04-14,839.41,847.21,837.11,844.91,6000501
2026-04-15,841.02,848.92,838.72,846.62,6003741
2026-04-16,843.8,851.52,841.5,849.22,6006569
2026-04-17,847.65,854.92,845.35,852.62,6008674
2026-04-20,852.41,858.98,850.11,856.68,6009825
2026-04-21,857.82,863.51,855.52,861.21,6009893
2026-04-22,863.64,868.3,861.34,866.0,6008872
2026-04-23,869.58,873.13,867.28,870.83,6006875
2026-04-24,875.32,877.75,873.02,875.45,6004121
2026-04-27,880.58,882.88,877.35,879.65,6000913
2026-04-28,885.11,887.41,880.95,883.25,6002395
2026-04-29,888.67,890.97,883.77,886.07,6005440
2026-04-30,891.14,893.44,885.72,888.02,6007886
2026-05-01,892.42,894.72,886.74,889.04,6009463
2026-05-04,892.49,894.79,886.84,889.14,6009999
2026-05-05,891.43,893.73,886.08,888.38,6009434
2026-05-06,889.36,891.66,884.57,886.87,6007831
2026-05-07,886.49,888.79,882.48,884.78,6005365
2026-05-08,883.06,885.36,880.01,882.31,6002309
2026-05-11,879.35,881.97,877.05,879.67,6001001
2026-05-12,875.67,879.41,873.37,877.11,6004201
2026-05-13,872.3,877.14,870.0,874.84,6006939
2026-05-14,869.53,875.38,867.23,873.08,6008913
2026-05-15,867.59,874.3,865.29,872.0,6009906
2026-05-18,866.69,874.05,864.39,871.75,6009808
2026-05-19,866.94,874.7,864.64,872.4,6008630
2026-05-20,868.38,876.28,866.08,873.98,6006502
2026-05-21,871.01,878.77,868.71,876.47,6003659
2026-05-22,874.73,882.07,872.43,879.77,6000412
2026-05-25,879.37,886.05,877.07,883.75,6002879
2026-05-26,884.72,890.53,882.42,888.23,6005853
